name,screen_name,followers_count,friends_count,lang,location,occupation,profile_image_url,url,updated_at
Chris Hemsworth,chrishemsworth,7738885,106,en,,Actor,http://pbs.twimg.com/profile_images/1247482752351588352/EgHoUNqQ_normal.jpg,http://lnk.bio/chrishemsworth,2022-05-12 04:50:36
Suriya Sivakumar,Suriya_offl,7712346,30,en,Chennai,Actor,http://pbs.twimg.com/profile_images/1286687023185592320/Q1r6FSus_normal.jpg,http://agaram.in/,2022-05-12 12:51:15
Tom Holland,TomHolland1996,7354168,95,,Home,Actor,http://pbs.twimg.com/profile_images/826578156849074177/VPb4WgnY_normal.jpg,https://bit.ly/2GyYuQK,2022-05-11 16:51:12
Sivakarthikeyan,Siva_Kartikeyan,7280458,107,en,Chennai,Actor,http://pbs.twimg.com/profile_images/1084418439337336832/pVRN7APS_normal.jpg,,2022-05-12 12:51:15
Disha Patani,DishPatani,7268990,27,,,Actor,http://pbs.twimg.com/profile_images/1492478873065312259/OiLtCI7v_normal.jpg,,2022-05-12 04:50:36
Kamal Haasan,ikamalhaasan,7228581,9,und,"Chennai, India",Actor,http://pbs.twimg.com/profile_images/932972987925520385/tUTtlK6x_normal.jpg,,2022-05-12 12:51:15
Ian Somerhalder,iansomerhalder,7146751,730,,The Universe,Actor,http://pbs.twimg.com/profile_images/1265911518115160064/3awhurkz_normal.jpg,https://brothersbondbourbon.com,2022-05-12 05:50:44
Miranda Cosgrove,MirandaCosgrove,6981271,11555,en,Los Angeles,Actor,http://pbs.twimg.com/profile_images/1125474945188880384/vZeHNVSw_normal.jpg,https://www.facebook.com/MirandaCosgrove,2022-05-08 07:11:05
Anna Kendrick,AnnaKendrick47,6978557,341,,,Actor,http://pbs.twimg.com/profile_images/481264998476308481/apDsLx3j_normal.jpeg,,2022-05-12 00:50:29
Anil Kapoor,AnilKapoor,6877317,135,en,"Mumbai, India",Actor,http://pbs.twimg.com/profile_images/1341701647672623104/Xy5XAFQD_normal.jpg,"https://www.facebook.com/anilskapoor/,http://Instagram.com/anilskapoor/",2022-05-12 02:50:29
Kriti Sanon,kritisanon,6748677,204,en,,Actor,http://pbs.twimg.com/profile_images/1494543368575086593/Z_jc9K4v_normal.jpg,https://Instagram.com/kritisanon,2022-05-12 02:50:29
Tom Cruise,TomCruise,6718288,50470,,Worldwide,Actor,http://pbs.twimg.com/profile_images/603269306026106880/42CwEF4n_normal.jpg,http://www.TomCruise.com,2022-05-12 13:50:47
Vanessa Hudgens,VanessaHudgens,6683829,131,,,Actor,http://pbs.twimg.com/profile_images/1016376658264252417/G-OwhAi2_normal.jpg,,2022-05-12 13:50:42
